Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_028	T028	29	1	1	5.25606	1.82283	2.55943	((((12_4_0:0.07364577,12_0_0:0.14892959):0.01243219,(15_0_0:0.11429425,((13_7_0:0.01419558,13_0_0:0.01907108):0.01049278,14_0_0:0.00116922):0.10670347):0.00407596):1.05641814,((13_3_0:0.02543032,14_3_0:0.00296325):0.02918296,(13_6_0:0.01288395,14_6_0:0.00447774):0.03783893):0.65126911):0.60504613,(((((3_0_0:0.06689004,10_0_0:0.04204493):0.03749477,((15_2_0:0.14638322,(13_2_0:0.01570204,14_2_0:0.00198496):0.05785567):0.00713378,(12_2_0:0.01545566,12_5_0:0.00611986):0.06460219):0.04582868):0.00617179,(6_0_0:0.00779002,4_0_0:0.02060863):0.05628295):0.14937754,(2_0_0:0.07990270,((1_0_0:0.01711468,5_0_0:0.01162459):0.04830001,8_0_0:0.08311537):0.02124291):0.15833658):0.21231704,((2_1_0:0.09339782,((5_1_0:0.00852128,(1_1_0:0.00764995,7_0_0:0.00996906):0.00600984):0.00864880,8_1_0:0.05287031):0.03473342):0.02070013,12_3_0:0.10199856):0.43196468):0.16939562);

dataset_029	T029	10	1	1	0.718957	0.293774	0.477407	((6_0_0:0.01057475,4_0_0:0.01473762):0.16889579,(((8_0_0:0.02733319,(5_0_0:0.01069200,1_0_0:0.07176180):0.02891727):0.03401334,2_0_0:0.04171489):0.00221590,(2_1_0:0.02668179,(8_1_0:0.05800677,(5_1_0:0.01297254,1_1_0:0.02971901):0.01128031):0.01048341):0.00209076):0.15686571);

dataset_030	T030	21	1	1	10.2246	2.4118	4.60553	((((4_8_0:0.03825522,6_8_0:0.02866668):0.14461627,(6_0_0:0.03255556,(4_0_0:0.00647312,3_6_0:0.00274244):0.03777175):0.36775312):0.21901176,((9_2_0:0.18944706,(8_0_0:0.12294749,(5_0_0:0.01483736,1_0_0:0.07024769):0.07100661):0.04615741):0.16448847,((7_7_0:0.14151935,3_7_0:0.04734181):0.08877452,10_7_0:0.13746694):0.20589905):0.20818686):1.76741966,(((9_0_0:0.46209685,(11_5_0:0.21604773,11_0_0:0.10513643):0.01429100):0.85335976,(10_6_0:0.20196156,7_6_0:0.20603527):0.49624722):0.64128417,((11_3_0:0.13163087,(11_2_0:0.18701607,9_3_0:0.25149759):0.01655078):0.45793105,9_4_0:1.04430371):0.54860423):0.23698777);

dataset_031	T031	10	1	1	2.72863	1.38277	2.13222	(((4_0_0:0.06014793,6_0_0:0.00738844):0.18512230,(2_0_0:0.04491553,(8_0_0:0.06379245,(1_0_0:0.04040792,5_0_0:0.00888892):0.01823455):0.02867418):0.29351246):0.36346674,(12_0_0:0.12386477,((14_0_0:0.00383943,13_0_0:0.03418434):0.06941968,15_0_0:0.62121760):0.00063241):0.76091966);

dataset_032	T032	4	1	1	0.247572	0.126975	0.215355	((12_1_0:0.03012933,15_1_0:0.02772619):0.09684590,(13_1_0:0.02770287,14_2_0:0.00449015):0.06067710);

dataset_033	T033	18	1	1	5.00676	1.36282	2.65691	((((15_0_0:0.14979087,(14_0_0:0.00310443,13_0_0:0.04125468):0.05879764):0.01190210,12_0_0:0.56582424):0.29625124,((6_0_0:0.01833343,4_0_0:0.02558550):0.26370365,(2_0_0:0.06946107,((5_0_0:0.00681508,1_0_0:0.04917084):0.03968627,8_0_0:0.06227041):0.03474135):0.40546784):0.01789141):0.50073977,((((7_0_0:0.04113189,3_0_0:0.04123531):0.05275710,10_0_0:0.16608740):0.14648121,((14_1_0:0.00578857,13_1_0:0.04562654):0.16680893,12_1_0:0.06066042):0.42157185):0.00504050,(15_1_0:0.00643523,9_0_0:0.00643982):0.56485756):0.65504623);

dataset_034	T034	3	1	1	0.229001	0.1601	0.226256	((13_0_0:0.02757264,14_0_0:0.00274449):0.03858300,12_0_0:0.16010047);

dataset_035	T035	32	1	1	1.12114	0.281794	0.440293	(((15_0_0:0.08679400,(13_0_0:0.01299760,14_0_0:0.00068172):0.01420116):0.02027357,2_2_0:0.02896042):0.17472634,(11_0_0:0.11151019,((((1_0_0:0.00760197,5_0_0:0.00378152):0.01930624,(2_0_0:0.00660289,2_6_0:0.00549679):0.00957554):0.06593802,(6_0_0:0.00144166,4_0_0:0.00289293):0.05990527):0.03855510,(((4_3_0:0.00386559,6_3_0:0.00312733):0.01433942,((((8_5_0:0.00948057,((5_5_0:0.00268200,1_5_0:0.00829130):0.00463954,8_3_0:0.00669357):0.00135398):0.01139815,2_5_0:0.00644683):0.00491501,(((1_4_0:0.00678142,5_4_0:0.00293766):0.00625689,(12_0_0:0.00076378,8_4_0:0.00053981):0.00962849):0.01442875,2_4_0:0.01548144):0.00623756):0.01711504,(2_3_0:0.01365993,(1_3_0:0.00319213,5_3_0:0.00470748):0.01754429):0.04654084):0.01298021):0.01343867,(((8_0_0:0.00057215,6_2_0:0.00062640):0.00227611,4_2_0:0.00848220):0.01071454,(8_2_0:0.01326213,(5_2_0:0.00211157,1_2_0:0.01229921):0.00795799):0.00073554):0.07544833):0.01884569):0.00873360):0.01836415);

dataset_036	T036	39	1	1	9.95655	2.32527	4.08514	(((13_5_0:0.03698226,14_5_0:0.00411091):0.22367367,12_5_0:0.01818873):0.99752981,((15_6_0:0.18348956,((((15_11_0:0.10392840,9_1_0:0.06495726):0.26433171,((12_7_0:0.01790521,(15_5_0:0.02556438,11_2_0:0.01228597):0.00806870):0.03136243,((14_0_0:0.00058290,13_0_0:0.01987422):0.03895896,9_2_0:0.00746098):0.12627844):0.07906871):0.03429155,(((14_9_0:0.00065827,13_9_0:0.01386133):0.04320864,((15_9_0:0.00961522,12_6_0:0.00642854):0.04818175,(13_7_0:0.03106723,14_7_0:0.00209340):0.00079441):0.03314386):0.00628639,12_9_0:0.11761696):0.09386742):0.02202078,((11_0_0:0.00512294,12_4_0:0.04267933):0.05905651,(9_0_0:0.05693557,((7_0_0:0.09306395,3_0_0:0.05319654):0.00360287,10_0_0:0.05891555):0.04093218):0.07047338):0.05486220):0.00959071):1.78142551,((((14_4_0:0.01387831,13_4_0:0.03842537):0.27608130,(15_4_0:0.02098465,11_1_0:0.02662159):0.01761439):1.13994904,((13_8_0:0.09891547,15_0_0:0.01544176):0.16289757,12_0_0:0.02663436):0.07590001):0.17820928,(((14_8_0:0.02638468,12_8_0:0.13274298):0.08191495,(15_7_0:0.21107999,15_10_0:0.31247429):0.07640601):0.01909111,((7_1_0:0.03509131,3_1_0:0.06638306):0.03065698,10_1_0:0.07351280):0.17040637):1.29643657):0.16513873):0.10967974);

dataset_037	T037	11	1	1	0.58269	0.173228	0.344975	((9_4_0:0.06941286,(10_3_0:0.01728262,11_6_0:0.00945851):0.01793445):0.10233363,((10_4_0:0.03644978,(7_4_0:0.01962005,(3_4_0:0.00215057,3_12_0:0.00243556):0.00447239):0.03032782):0.03559870,((7_8_0:0.00779139,11_4_0:0.00785753):0.03302176,(10_14_0:0.01331405,10_8_0:0.02382544):0.04091687):0.07458784):0.03389809);

dataset_038	T038	6	1	1	0.978488	0.565821	0.736424	(((14_0_0:0.00236737,13_0_0:0.02165469):0.10476903,12_0_0:0.23999299):0.32582805,(10_0_0:0.10112944,(7_0_0:0.04556322,3_0_0:0.01214391):0.05629085):0.06874887);

